config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,494,7.446181582999998,7.446181582999998,71,9.535088448836182,0.0,0.4477918026260897,0.9769062435960023,0.249999999975,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends r",148.36,0,15.713560447000418,15.713560447000418,868,55.23891309850745,0.0,0.4938045842874061,0.11225647103638117,0.3333333333,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,46.8,2.6327749380006935,2.6327749380006935,127,48.23807693051146,0.0,0.49018916890411846,0.9155258104918973,0.9999999999,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,0,14.965681859000142,14.965681859000142,841,56.1952343985072,0.0,0.49101902516527623,0.14083883078214632,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,12.0,12.641129976999764,12.641129976999764,710,56.165865020914126,0.0,0.4694374280060591,0.8966771017994997,0.19999999998,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results t",-0.49834619625137816,,35.78319402199941,35.78319402199941,2048,57.23357168007125,,0.0,0.14196337715451782,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,1,2.6968996340001468,2.6968996340001468,120,44.495537945552435,1.0,0.4917527303390303,0.12462326304195184,0.9999999999,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,26.9,7.0072554369999125,7.0072554369999125,380,54.22950589092457,1.0,0.577623770384116,0.16842662681265125,0.3333333333,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,6575000,2.0954611500001192,2.0954611500001192,93,44.38163885786893,0.0,0.4976904845605474,0.15878847951273256,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends",1.6062,60.62,1.583351185000538,1.583351185000538,52,32.84173498122738,1.0,0.600767530078718,0.9409275783045463,0.19999999998,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"In the 2007 report of Motorola Solutions, what were the net sales to the top five customers of the segment in 2006, which included notable companies such as Sprint Nextel, Comcast Corporation, Verizon",2430.0,0,11.310955799999647,11.310955799999647,633,55.9634403310125,0.0,0.48344414704530353,0.133583718590809,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What was the average segment net sales for Motorola Solutions from 2005 to 2007, in millions of dollars, as reported in the 2007 financial report?",6055.666666666667,5.8,19.4822408910004,19.4822408910004,1101,56.51300618650057,0.0,0.5237316662583592,0.11424466502365486,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What was the percentage change in commercial mortgage loans held for sale designated at fair value from 2008 to 2009, as reported by PNC Financial Services in their 2013 Form 10-K?",-0.08422301304863583,0,15.694097544000215,15.694097544000215,881,56.13575406486513,0.0,0.5018356627576032,0.13358567115805675,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,What was the average total assets for Goldman Sachs in millions for the years 2012 and 2013?,925031.0,925031,3.1211860499997783,3.1211860499997783,151,48.379044882637075,1.0,0.48286954556814443,0.9842746623129812,0.99999999995,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What percentage of American Water Works' gross liabilities, as reported in the consolidated balance sheets for the year 2012, are specifically categorized as other long-term liabilities?",0.41084461830015523,0.0086,12.902136151999912,12.902136151999912,721,55.882219153937584,0.0,0.5029811945024051,0.18083597923183722,0.99999999995,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What is the percentage change in the total impairment charges and net losses on long-lived assets for American Tower from 2003 to 2004, as reflected in the company's 2005 consolidated financial statem",-0.07329842931937183,-21.2,10.44111740399967,10.44111740399967,574,54.97495888515901,1.0,0.45599827362332945,0.14312434803468138,0.8055555555287036,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What percentage of the total future minimum lease payments due in 2019, as of December 31, 2016, for LKQ Corporation's operating leases, including those for corporate office space, warehouse and distr",0.11519727434040693,11.5,4.040072861999761,4.040072861999761,210,51.979260566121056,0.0,0.5121972081617633,0.8750453155727884,0.3333333333,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"As of December 31, 2006, what percentage of the total route miles operated by Union Pacific Corporation was accounted for by the main line?",0.5294596480347313,52.95,3.764328366999507,3.764328366999507,195,51.80206958284878,0.0,0.4955692395159959,0.15673592046606938,0.49999999995,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"In the context of Aon's Employee Share Purchase Plan for U.S. employees, what was the average share price at which the company's ordinary shares were purchased in 2015, considering the plan's provisio",21.863976911640382,18.58,9.125236724000388,9.125236724000388,494,54.13558189682083,0.0,0.627783717821941,0.1315617485506292,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What was the percentage change in total rental expense under operating leases for Sysco from July 1, 2006 to July 2, 2007, given that the total rental expense under operating leases was $100,690,000 i",0.086074857081221,9.0,7.621351413999946,7.621351413999946,416,54.58349541996371,0.0,0.5494261441438,0.12466903998142756,0.49999999995,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What is the difference in the excess of current cost over LIFO cost between the fiscal years ending February 3, 2006, and January 28, 2005, for Dollar General?",12.1,0,17.04622772300081,17.04622772300081,959,56.25878144910632,0.0,0.5133402050299468,0.11431752629771824,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What percentage of Citigroup's total principal transactions revenue in 2018 was attributed to interest rate risks, as outlined in the company's 2018 financial report?",0.5722798499227544,57.23,3.7357617330007997,3.7357617330007997,191,51.12745770501181,1.0,0.47905617609141227,0.17439170684522165,0.49999999995,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"What percentage of the present value of lease obligations for Arista Networks, as of December 31, 2015, is classified as the current portion?",0.03140130682085272,3.14,6.8081972800000585,6.8081972800000585,372,54.640014779359745,0.0,0.546723249554236,0.1655280288954187,0.3333333333,1.0
recursive_cs1000_co100_nomic-embed-text:latest_gpt-oss:20b_concise,"As of December 31, 2018, what percentage of Republic Services' restricted cash and marketable securities was dedicated to supporting insurance programs for workers' compensation, commercial general li",0.727104532839963,72.75,3.476519867999741,3.476519867999741,169,48.61183206677207,0.0,0.49820609759542905,0.16616629251980475,0.9999999999,1.0
