config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,context_precision,context_recall
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,"The change in compensation and benefits liability for Goldman Sachs from December 2013 to December 2014 was **$494 million** ($8,368 million in 2014 minus $7,874 million in 2013).",5.35265579299994,5.35265579299994,321,59.970230183639906,0.25,0.9688319340682092,0.249999999975,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends r",148.36,"The context does not provide the specific cumulative total return value for The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013. It only describes the assumptions of the performance graph (e.g., $100 initial investment, dividend reinvestment) and notes that the graph compares returns to the S&P 500 index and S&P 500 Financials index. The actual numerical result is not included in the provided text.",6.943754527999772,6.943754527999772,423,60.91805208469113,1.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,"The percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011 is calculated as follows:  

**2011 Value**: $50,079  
**2012 Value**: $26,643  
**Reduction**: $50,079 - $26,643 = $23,436  

**Percentage Reduction**:  
($23,436 / $50,079) × 100 ≈ **46.8%**  

Answer: **46.8%**",8.078823425999872,8.078823425999872,505,62.50910230006654,0.0,1.0000000000000002,0.9999999999,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,"The provided context does not include specific numerical data or results from the performance graph comparing Abiomed's cumulative total stockholder return to the NASDAQ Composite Index over the five-year period ending March 31, 2012. While the context describes the structure of the graph and assumptions (e.g., $100 invested on March 31, 2007, with dividend reinvestment), it does not state whether Abiomed's return surpassed the index. Therefore, **there is insufficient information in the context",6.563393213000381,6.563393213000381,406,61.858247224289286,1.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,"The percentage of the $22,258 million total debt scheduled to mature as of December 31, 2001, due in 2002 is calculated as follows:  
($2,672 million ÷ $22,258 million) × 100 ≈ **11.99%** (approximately **12%**).",7.558537057999274,7.558537057999274,468,61.91674346621229,0.8,0.9935139344291043,0.19999999998,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results t",-0.49834619625137816,"The context does not provide specific net sales figures for the plastics packaging business in 2010, only mentioning the $280 million sale proceeds in August 2010. The $635 million figure is for 2009 sales. Since 2010 sales data for the business is not included in the operating results tables or text, the percentage change between 2009 and 2010 cannot be determined from the provided information.",11.797434055999474,11.797434055999474,745,63.14932522306724,1.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,The interest expense avoided per year by switching from 4.50% to 4.25% convertible senior notes is **$1.0 million**. This is calculated as $400.0 million principal × (4.50% - 4.25%) = $1.0 million annual savings.,6.356930911000745,6.356930911000745,382,60.09189109463883,0.0,0.9374902928970505,0.9999999999,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,The Euro would account for **26.92%** of the total potential impact on 2017 revenues from a 10% exchange rate move. This is calculated as ($35 million Euro impact ÷ $130 million total impact) × 100.,12.34451832600098,12.34451832600098,781,63.26694807969926,1.0,0.9623550200613739,0.3333333333,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,"The difference between Entergy Gulf States Louisiana's receivables from the money pool as of December 31, 2009, and 2010, is calculated as follows:  
**2009 Receivables**: $39,904,000  
**2010 Receivables**: $33,329,000  
**Difference**: $39,904,000 - $33,329,000 = **$6,575,000**  

Answer: $6,575,000.",7.099248724000063,7.099248724000063,444,62.54182903875338,0.0,0.9239977704671761,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends",1.6062,"The total percentage growth of Loews Corporation's common stock value from December 31, 2004, to December 31, 2009, with dividends reinvested, was **60.62%**. This is calculated by comparing the initial $100 investment value in 2004 to the cumulative total return of **160.62** in 2009 (as shown in the provided table).",8.315240149000601,8.315240149000601,509,61.212904363462805,1.0,0.9745798806233871,0.19999999998,0.0
