config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,semantic_similarity,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,In what year did Massachusetts first require children to be educated in schools?,1852,Massachusetts first required children to be educated in schools in 1852.,1.1017726140000832,1.4048151100000723,0,0,1.0,,,,1.0,0.5171469273674184,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224420518540573,0.5705468741257433,0.06426099317984302,0.16666666666666669,0.0,0.25,0.9588832259178162,0.9848376512527466,0.9716871543955661
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,When were stromules discovered?,1962,Stromules were first observed in 1962.,1.016141308999977,1.330455559000029,0,0,1.0,,,,1.0,0.6952378243584426,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537462439636497,0.6405832343349422,0.4360802113292236,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744559526443481,0.9675675805219948
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,"Horace Walpole is the artist who had a major influence on the Gothic Revival and is represented in the galleries. The text identifies him as ""a major influence on the Gothic Revival"" and lists him among the patrons whose works of art are on display.",1.002249104999919,1.7243975079999245,0,0,0.75,,,,1.0,0.5949303009307851,True,1.0,1.0,0.1,1.0,0.7653606369886217,0.2,1.0,0.830419897363192,0.4,0.5883424504872522,0.4311723859828702,0.11326260283044642,0.0851063829787234,0.0,0.29761904761904767,0.9383730292320251,0.9945467710494995,0.9656436507367993
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,"In 1890, who did the university decide to team up with?",several regional colleges and universities,"The provided text does not state who the university decided to team up with in 1890. It only mentions that in the 1890s, the University of Chicago affiliated with Des Moines College, Kalamazoo College, Butler University, and Stetson University, and that in 1896, it affiliated with Shimer College.",3.760004503999994,4.175236526000049,0,0,1.0,,,,1.0,0.5355802133170826,True,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,0.8687949224876582,0.4444444444444444,0.54989898126461,0.4659700749260104,0.12802201030358085,0.03773584905660377,0.0,0.1075268817204301,0.9469113349914551,0.963728666305542,0.9552459881102036
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Jonathan Stewart got a touchdown with a 1-yard run, which cut the score to 10–7.",0.9280521529999533,1.1167845429999943,0,0,1.0,,,,1.0,0.6275676187994825,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5579310023455145,0.4151731059099395,0.15218749352776717,0.23529411764705882,0.0,0.5681818181818181,0.9612339735031128,0.9841705560684204,0.9725670520801883
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,How many Examination Boards exist in India?,30,The provided context does not contain information regarding the number of Examination Boards in India.,1.2044556349999311,1.3021445949999588,0,0,1.0,,,,0.0,0.41417175877896517,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872897137814673,0.6187432495015572,0.29388887523595086,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co. started the rumors in 2008 that ABC would sell its ten owned-and-operated stations.,1.1284743019999723,1.2250224220000518,0,0,1.0,,,,1.0,0.6178326383777548,True,1.0,1.0,0.09090909090909091,1.0,0.7039180890341347,0.18181818181818182,1.0,0.7860137352654724,0.36363636363636365,0.6336484206307702,0.4508061355166967,0.019515909803254017,0.3157894736842105,0.0,0.6847545219638244,0.9711036086082458,0.988781750202179,0.9798629510964084
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcasted the 50th Super Bowl game in the U.S.,3.9756073700000343,8.075482185000055,0,0,1.0,,,,1.0,0.5684702106179236,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.5791426459196034,0.5211511785824013,0.0875841486385881,0.18181818181818182,0.0,0.2631578947368421,0.9533755779266357,0.9854302406311035,0.9691379262178373
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Why was this short termed organization created?,coordinate the response to the embargo,"The short-term organization, the Federal Energy Office, was created to coordinate the response to the embargo.",1.0117103310000175,1.1496445680000988,0,0,1.0,,,,1.0,0.8079760219593356,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5409840111211363,0.5745778994246111,0.29879926108608024,0.5454545454545454,0.30130404892785684,0.6091269841269841,0.9755202531814575,0.9782479405403137,0.9768821927766775
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,What does LGM stands for?,Last Glacial Maximum,The provided context does not contain information about what LGM stands for.,1.0328731769999422,1.2482603989999461,0,0,1.0,,,,0.0,0.6620987128718894,False,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5739176654560196,0.3055562701598704,0.17221533643892106,0.0,0.0,0.0,0.0,0.0,0.0
