config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,In what year did Massachusetts first require children to be educated in schools?,1852,Massachusetts first required children to be educated in schools in 1852.,0.9395512049999866,1.1435340209999936,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234733889234458,0.16666666666666669,0.0,0.25,0.9588834047317505,0.9848374128341675,0.971687130159174
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,When were stromules discovered?,1962,Stromules were first observed in 1962.,2.7016999470000087,2.7850127940000107,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537462439636497,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744558334350586,0.9675675217570514
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole.,2.833852277999995,2.8358674680000036,0,0,0.0,,,,,True,1.0,1.0,0.1,1.0,0.7653606369886217,0.2,1.0,0.830419897363192,0.4,0.5869034779053777,1.0,0.0,0.9375,0.9941796660423279,0.9984198808670044,0.9962952619054722
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,2.8302201679999826,3.0024179679999747,0,0,0.0,,,,,False,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,0.8687949224876582,0.4444444444444444,0.5540748316731673,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7.",2.883623003000025,3.1972660050000172,0,0,1.0,,,,,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5589512121056294,0.23529411764705882,0.0,0.5681818181818181,0.9557264447212219,0.9835977554321289,0.9694618215567966
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,0.8380156229999898,0.9453898539999841,0,0,1.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5974628046478176,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,0.8656340949999901,0.8672570230000076,0,0,1.0,,,,,True,1.0,1.0,0.09090909090909091,1.0,0.7039180890341347,0.18181818181818182,1.0,0.7860137352654724,0.36363636363636365,0.6325253990428178,1.0,0.0,0.9814814814814815,0.9999999403953552,0.9999999403953552,0.9999999403953552
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcast Super Bowl 50 in the U.S.,0.8539232889999937,1.0593677689999765,0,0,1.0,,,,,True,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.575793986947216,0.2222222222222222,0.0,0.29411764705882354,0.9542853832244873,0.9846400022506714,0.9692250861480924
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Why was this short termed organization created?,coordinate the response to the embargo,It was created to coordinate the response to the embargo.,1.2773004010000477,1.4101865970000063,0,0,1.0,,,,,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5411858602663159,0.7499999999999999,0.5169731539571706,0.9201388888888891,0.9859281182289124,0.982958972454071,0.9844413065572887
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,0.7215463599999907,0.8103251510000291,0,0,0.0,,,,,False,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5764932748993016,0.0,0.0,0.0,0.0,0.0,0.0
