config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,semantic_similarity,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,In what year did Massachusetts first require children to be educated in schools?,1852,1852,0.7269786470001236,0.7276650170001631,0,0,1.0,,,,1.0,0.9999999999999999,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394204731908013,0.5705468741257433,0.5705468741257433,1.0,0.0,0.5,1.0,1.0,1.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,When were stromules discovered?,1962,Stromules were first observed in 1962.,0.7369549730001381,0.7379776430002494,0,0,1.0,,,,1.0,0.6952378243584426,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670464359694426,0.6405832343349422,0.4360802113292236,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744559526443481,0.9675675805219948
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole.,0.8098163599997861,1.0111074269998426,0,0,0.5,,,,1.0,0.9835760606158144,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.6204253616393414,0.4311723859828702,0.44620307713740026,1.0,0.0,0.9375,0.9941795468330383,0.9984198212623596,0.9962951723712616
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,0.7103840330000821,0.8145771869999407,0,0,0.0,,,,1.0,0.3430237830767867,False,1.0,1.0,0.16666666666666666,1.0,0.7039180890341347,0.3333333333333333,1.0,0.7860137352654724,0.6666666666666666,0.5817068124534921,0.4659700749260104,0.5912682277897099,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7.",0.8151308550000067,0.9208638390000488,0,0,1.0,,,,1.0,0.6217511591556566,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.5997926092139023,0.4151731059099395,0.19367385949316762,0.23529411764705882,0.0,0.5681818181818181,0.9557264447212219,0.9835976362228394,0.9694617636530728
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,0.8065720500003408,0.9123072880001928,0,0,1.0,,,,0.0,0.3752133407491288,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6040588391926861,0.6187432495015572,0.4604562660510938,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,4.717937598999924,4.802804819999892,0,0,1.0,,,,1.0,1.0,True,1.0,1.0,0.09090909090909091,1.0,0.7653606369886217,0.18181818181818182,1.0,0.830419897363192,0.36363636363636365,0.6450322754543277,0.4508061355166967,0.4508061355166967,1.0,0.0,0.9814814814814815,0.9999998211860657,0.9999998211860657,0.9999998211860657
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcast Super Bowl 50 in the U.S.,0.7808846509997238,0.884035030999712,0,0,1.0,,,,1.0,0.608795912133846,True,1.0,1.0,0.1,1.0,0.7653606369886217,0.2,1.0,0.830419897363192,0.4,0.5786631307940054,0.5211511785824013,0.28274747583452986,0.2222222222222222,0.0,0.29411764705882354,0.9542853832244873,0.9846398234367371,0.969224999518605
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Why was this short termed organization created?,coordinate the response to the embargo,to coordinate the response to the embargo,0.911882439999772,0.9128869689998282,0,0,1.0,,,,1.0,0.9868614082516557,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5551693425788633,0.5745778994246111,0.5548919942678017,0.923076923076923,0.8091067115702212,0.9653916211293262,0.9907466173171997,0.9871892929077148,0.9889647561824796
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,0.9157079459996567,0.9167497479998019,0,0,1.0,,,,0.0,0.6031293660131565,False,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.6124703335193435,0.3055562701598704,0.4542245199286876,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,"""Reducibility Among Combinatorial Problems""","""Reducibility Among Combinatorial Problems""",0.9125957690002906,0.9137533510001958,0,0,0.5,,,,1.0,1.0,True,0.0,0.0,0.0,1.0,0.23463936301137822,0.2,1.0,0.4468535299918563,0.6,0.6278697667735615,0.49227986282874303,0.49227986282874303,1.0,1.0,0.9921875,1.0,1.0,1.0
