config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,In what year did Massachusetts first require children to be educated in schools?,1852,Massachusetts first required children to be educated in schools in 1852.,1.201581649000218,1.4309783360004076,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903693844319845,0.16666666666666669,0.0,0.25,0.9588834047317505,0.9848374128341675,0.971687130159174
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,When were stromules discovered?,1962,Stromules were first observed in 1962.,0.5316694760003884,2.6843006400004015,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232631496929356,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744558334350586,0.9675675217570514
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole.,2.7068977150001956,2.709029561000534,0,0,0.0,,,,,True,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6760519159681709,1.0,0.0,0.9375,0.9941796660423279,0.9984198808670044,0.9962952619054722
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,0.5530465150004602,0.5831994220006891,0,0,0.0,,,,,False,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6354853748429056,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7.",0.5317662389998077,0.7848704660000294,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6489406717379581,0.23529411764705882,0.0,0.5681818181818181,0.9557264447212219,0.9835977554321289,0.9694618215567966
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,0.5093906590000188,0.5943344800007253,0,0,1.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372205543271248,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,0.5800602740000613,0.5817212440006188,0,0,1.0,,,,,True,1.0,1.0,0.5,1.0,0.9197207891481876,1.0,1.0,0.9197207891481876,1.0,0.7242598695171742,1.0,0.0,0.9814814814814815,0.9999999403953552,0.9999999403953552,0.9999999403953552
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcast Super Bowl 50 in the U.S.,0.555734904000019,0.633475831999931,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6282546302401388,0.2222222222222222,0.0,0.29411764705882354,0.9542853832244873,0.9846400022506714,0.9692250861480924
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Why was this short termed organization created?,coordinate the response to the embargo,It was created to coordinate the response to the embargo.,0.587427974000093,0.6645053689999258,0,0,1.0,,,,,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5729333832778597,0.7499999999999999,0.5169731539571706,0.9201388888888891,0.9859281182289124,0.982958972454071,0.9844413065572887
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,0.5841889020002782,0.6162632759996995,0,0,1.0,,,,,False,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6188151598663254,0.0,0.0,0.0,0.0,0.0,0.0
